customer_id,first_name,last_name,date_of_birth,gender,annual_income,occupation,city,state,customer_since,customer_status
48,Siddharth,Zacharia,2001-12-31,Male,120000.0,Consultant,Hyderabad,Telangana,2024-01-08,Active
49,Sai,Muni,1977-10-03,Female,120000.0,Government Employee,Bengaluru,Karnataka,2023-01-11,Active
50,Kashvi,Sarma,1985-10-28,Other,120000.0,Teacher,Mumbai,Maharashtra,2019-04-14,Active
51,Jai,Kota,1965-11-22,Female,139416.95,Software Engineer,Mysuru,Karnataka,2012-09-09,Active
52,Hamsini,Bail,1990-08-21,Female,120000.0,Software Engineer,Mangaluru,Karnataka,2021-01-09,Active
53,Victor,Kannan,1951-02-03,Female,120000.0,Software Engineer,Chennai,Tamil Nadu,2012-10-23,Active
54,Daniel,Karnik,1955-03-11,Other,120000.0,Doctor,Mangaluru,Karnataka,2012-02-20,Active
55,Ganga,Bobal,1985-08-04,Female,120000.0,Business Owner,Chennai,Tamil Nadu,2015-08-26,Active
56,Arya,Sunder,1965-03-07,Female,120000.0,Consultant,Mumbai,Maharashtra,2020-10-10,Active
57,Kevin,Solanki,1967-02-20,Female,120000.0,Software Engineer,Mysuru,Karnataka,2024-12-13,Active
58,Urvashi,Ray,1963-07-24,Female,120000.0,Sales Professional,Jaipur,Rajasthan,2013-03-17,Active
59,Gunbir,Sankar,1974-09-18,Female,120000.0,Self Employed,Pune,Maharashtra,2018-10-23,Active
60,Nirja,Sibal,2000-03-20,Female,120000.0,Doctor,Jaipur,Rajasthan,2012-07-10,Active
61,Guneet,Bhat,1978-01-01,Male,120000.0,Sales Professional,Mangaluru,Karnataka,2023-12-28,Active
62,Harinakshi,Chopra,1967-07-11,Male,120000.0,Government Employee,Mangaluru,Karnataka,2014-11-11,Active
63,Ranveer,Yadav,1981-02-17,Male,120000.0,Consultant,Mumbai,Maharashtra,2013-12-27,Active
64,Pahal,Goswami,1969-07-23,Male,120000.0,Government Employee,Chennai,Tamil Nadu,2019-06-22,Active
65,Zaid,Borra,1980-10-04,Male,176566.06,Business Owner,Hyderabad,Telangana,2025-05-07,Active
66,Guneet,Bedi,1994-12-25,Female,120000.0,Teacher,Mangaluru,Karnataka,2020-10-19,Active
67,Alexander,Chander,2001-11-18,Male,120000.0,Bank Employee,Pune,Maharashtra,2015-08-16,Active
68,Ojas,Ray,1983-08-26,Male,120000.0,Software Engineer,Bengaluru,Karnataka,2019-10-17,Active
69,Tanay,Rattan,1954-08-05,Male,120000.0,Sales Professional,Mumbai,Maharashtra,2014-05-28,Active
70,Ladli,Agate,1977-03-03,Female,136375.1,Sales Professional,Chennai,Tamil Nadu,2016-02-11,Active
71,Suhani,Mangal,1979-05-22,Male,136419.81,Self Employed,Kolkata,West Bengal,2023-06-15,Active
72,Vidhi,Dubey,1963-07-11,Male,120000.0,Doctor,Bengaluru,Karnataka,2016-08-25,Active
73,Teerth,Bhardwaj,1990-01-06,Male,120000.0,Accountant,Kolkata,West Bengal,2024-02-13,Active
74,Darsh,Murthy,1954-06-29,Female,120000.0,Doctor,Kolkata,West Bengal,2012-06-15,Active
75,Vansha,Thakkar,1986-09-30,Female,120000.0,Accountant,Kolkata,West Bengal,2014-04-13,Active
76,Dakshesh,Trivedi,1956-01-21,Female,275460.08,Business Owner,Delhi,Delhi,2014-10-06,Active
77,Ekapad,Bir,1996-07-20,Female,120000.0,Software Engineer,Hyderabad,Telangana,2015-08-09,Active
78,Netra,Dar,1989-05-15,Female,137633.76,Software Engineer,Chennai,Tamil Nadu,2015-10-16,Inactive
79,Balveer,Bumb,1979-02-17,Male,120000.0,Business Owner,Kolkata,West Bengal,2022-10-14,Active
80,Diya,Lal,1964-07-02,Female,120000.0,Software Engineer,Mysuru,Karnataka,2022-12-30,Active
81,Dipta,Khare,1968-09-04,Male,120000.0,Sales Professional,Kolkata,West Bengal,2018-05-03,Active
82,Karan,Mital,1981-09-19,Male,137757.23,Retired,Chennai,Tamil Nadu,2016-12-24,Active
83,Elijah,Andra,1981-10-15,Female,120000.0,Accountant,Hyderabad,Telangana,2022-03-03,Active
84,Harish,Borah,1987-03-10,Other,120000.0,Doctor,Mangaluru,Karnataka,2015-03-25,Active
85,Yashawini,Lanka,1959-08-14,Female,120000.0,Self Employed,Pune,Maharashtra,2017-07-16,Active
86,Ekapad,Konda,1975-10-01,Female,120000.0,Bank Employee,Pune,Maharashtra,2016-06-13,Active
87,Nakul,Sarma,1987-07-27,Male,139882.94,Retired,Bengaluru,Karnataka,2023-07-28,Active
88,Chasmum,Wadhwa,1951-02-19,Male,120000.0,Bank Employee,Hyderabad,Telangana,2022-12-18,Active
89,Chandani,Chawla,1959-09-28,Female,120000.0,Teacher,Jaipur,Rajasthan,2016-02-07,Active
90,Jack,Chhabra,2001-02-14,Male,120000.0,Self Employed,Chennai,Tamil Nadu,2021-01-05,Active
91,Nachiket,Magar,1969-10-11,Female,120000.0,Accountant,Chennai,Tamil Nadu,2021-11-22,Active
92,Shivansh,Oza,1964-06-16,Other,120000.0,Student,Pune,Maharashtra,2023-04-19,Active
93,Aishani,Tiwari,1983-11-06,Other,194635.39,Bank Employee,Pune,Maharashtra,2015-11-16,Active
94,Charan,Chanda,1993-10-07,Male,120000.0,Sales Professional,Bengaluru,Karnataka,2018-10-23,Active
95,Aradhana,Basu,1950-11-05,Male,120000.0,Teacher,Delhi,Delhi,2017-04-11,Active
96,Kalpit,Lala,1961-08-07,Female,120000.0,Software Engineer,Bengaluru,Karnataka,2024-03-18,Inactive
97,Riya,Sane,1988-10-09,Female,120000.0,Teacher,Jaipur,Rajasthan,2011-10-08,Active
98,Isaac,Borra,1997-08-17,Female,120000.0,Student,Mumbai,Maharashtra,2014-02-20,Inactive
99,Balendra,Pingle,1990-03-30,Male,120000.0,Student,Pune,Maharashtra,2021-01-01,Active
100,Manbir,Sani,1959-04-11,Male,120000.0,Bank Employee,Delhi,Delhi,2012-04-24,Active
101,Darika,Patla,2004-10-11,Male,120000.0,Software Engineer,Mangaluru,Karnataka,2012-04-12,Active
102,Ishita,Kade,1997-01-06,Male,120000.0,Government Employee,Bengaluru,Karnataka,2015-11-06,Active
103,Harshil,Pandya,2003-09-09,Female,120000.0,Bank Employee,Chennai,Tamil Nadu,2021-02-15,Active
104,Niharika,Dubey,1966-09-18,Male,120000.0,Software Engineer,Jaipur,Rajasthan,2014-05-14,Active
105,Peter,Sachar,1952-04-16,Female,152343.11,Student,Mumbai,Maharashtra,2014-08-27,Inactive
106,Gaurangi,Sabharwal,2005-03-12,Male,120000.0,Consultant,Delhi,Delhi,2022-12-31,Active
107,Yuvraj,Loke,1961-06-08,Male,120000.0,Self Employed,Delhi,Delhi,2024-12-30,Active
108,Hritik,Raja,1953-03-28,Other,120000.0,Retired,Chennai,Tamil Nadu,2019-08-11,Active
109,Tristan,Iyengar,1981-12-04,Female,120000.0,Teacher,Bengaluru,Karnataka,2017-07-20,Active
110,Dalaja,Kari,1965-10-09,Male,120000.0,Accountant,Mysuru,Karnataka,2012-01-03,Active
111,Reyansh,Rastogi,1972-12-09,Male,120000.0,Government Employee,Mysuru,Karnataka,2016-05-05,Active
112,Ekaraj,Mallick,1974-07-01,Male,120000.0,Student,Bengaluru,Karnataka,2022-07-08,Active
113,Yashodhara,Ratta,1996-11-04,Male,120000.0,Bank Employee,Mumbai,Maharashtra,2020-09-21,Active
114,Garima,Bala,1958-06-14,Male,133403.58,Sales Professional,Bengaluru,Karnataka,2016-01-18,Active
115,Pranav,Lanka,1953-03-16,Female,173730.23,Sales Professional,Bengaluru,Karnataka,2013-06-12,Active
116,Radha,Pai,2000-03-07,Female,120000.0,Teacher,Chennai,Tamil Nadu,2024-12-24,Active
117,Dipta,Sarin,1991-11-09,Female,120000.0,Business Owner,Jaipur,Rajasthan,2020-04-20,Active
118,Jack,Rajan,1989-11-03,Male,120000.0,Student,Delhi,Delhi,2014-11-02,Active
119,Aachal,Basu,1998-11-01,Female,120000.0,Self Employed,Mumbai,Maharashtra,2019-01-08,Active
120,Aarav,Venkatesh,2005-06-26,Female,120000.0,Sales Professional,Jaipur,Rajasthan,2020-10-05,Active
121,Ronith,Patla,1979-12-14,Female,126406.1,Self Employed,Chennai,Tamil Nadu,2012-10-16,Closed
122,Ganga,Murthy,1995-09-30,Female,120000.0,Retired,Mysuru,Karnataka,2013-09-21,Active
123,Charita,Tripathi,1971-08-26,Female,120000.0,Self Employed,Mysuru,Karnataka,2022-12-12,Active
124,Nilima,Narain,1977-12-26,Female,120000.0,Accountant,Kolkata,West Bengal,2023-06-19,Active
125,Chakrika,Datta,1963-08-29,Male,120000.0,Consultant,Kolkata,West Bengal,2018-10-03,Active
126,Ladli,Ghosh,1992-06-27,Female,120000.0,Retired,Mumbai,Maharashtra,2021-04-14,Active
127,Charvi,Ravi,1987-11-22,Female,120000.0,Retired,Mangaluru,Karnataka,2011-08-11,Active
128,Daksha,Mangat,1964-11-27,Male,224334.3,Doctor,Delhi,Delhi,2018-12-01,Active
129,Ekanta,Shroff,1980-08-31,Other,120000.0,Student,Mangaluru,Karnataka,2019-02-15,Active
130,Tanay,Vaidya,1982-10-21,Male,120317.97,Self Employed,Chennai,Tamil Nadu,2025-02-08,Active
131,Omkaar,Chad,1969-11-30,Male,120000.0,Student,Mumbai,Maharashtra,2020-05-15,Active
132,Gautami,Chander,2001-09-19,Male,120000.0,Bank Employee,Jaipur,Rajasthan,2015-08-07,Active
133,Dayita,Kar,2005-06-28,Female,120000.0,Software Engineer,Delhi,Delhi,2014-12-28,Active
134,Manan,Bakshi,1953-09-30,Male,120000.0,Consultant,Hyderabad,Telangana,2015-10-08,Active
135,Vaishnavi,Bora,1981-08-05,Female,120000.0,Student,Kolkata,West Bengal,2018-08-27,Active
136,Robert,Rajagopalan,1984-03-30,Male,169079.33,Teacher,Delhi,Delhi,2018-05-27,Active
137,Yagnesh,Divan,1995-04-01,Male,161209.79,Bank Employee,Mysuru,Karnataka,2023-04-20,Active
138,Abdul,Chhabra,2003-07-29,Female,120000.0,Software Engineer,Kolkata,West Bengal,2018-11-01,Active
139,Theodore,Goda,2005-04-28,Male,120000.0,Bank Employee,Kolkata,West Bengal,2023-06-11,Active
140,Zarna,Shetty,1954-01-08,Female,120000.0,Business Owner,Mangaluru,Karnataka,2021-01-31,Active
141,Zaid,Dara,1981-08-31,Male,161140.29,Teacher,Mumbai,Maharashtra,2013-11-14,Active
142,Ucchal,Wali,1988-08-21,Male,120000.0,Student,Chennai,Tamil Nadu,2021-09-25,Active
143,Edhitha,Savant,1992-04-17,Female,120000.0,Accountant,Delhi,Delhi,2025-06-20,Active
144,Yamini,Sandhu,1987-11-20,Male,120000.0,Doctor,Mumbai,Maharashtra,2019-03-10,Active
145,Nathan,Soman,1981-03-25,Other,120000.0,Government Employee,Delhi,Delhi,2016-01-05,Active
146,Yug,Malhotra,2002-09-19,Male,120000.0,Government Employee,Hyderabad,Telangana,2024-10-31,Active
147,Vedhika,Khare,1969-04-16,Female,120000.0,Retired,Delhi,Delhi,2019-02-01,Active
148,Faras,Mangal,1966-07-24,Female,120000.0,Accountant,Mangaluru,Karnataka,2016-03-23,Active
149,Gautami,Nagarajan,1987-05-12,Female,120000.0,Self Employed,Mumbai,Maharashtra,2012-12-21,Active
150,Lakshit,Dora,1966-05-05,Female,120000.0,Government Employee,Kolkata,West Bengal,2018-02-13,Active
151,Michael,Kala,1954-12-22,Male,120000.0,Consultant,Hyderabad,Telangana,2018-08-29,Active
152,Nikita,Narayanan,1987-07-12,Female,120000.0,Business Owner,Pune,Maharashtra,2019-07-13,Active
153,Ojasvi,Bhatia,1964-09-04,Female,283061.9,Software Engineer,Mysuru,Karnataka,2018-10-01,Active
154,Lopa,Bahri,2002-09-13,Male,120000.0,Consultant,Mysuru,Karnataka,2021-05-25,Closed
155,Lajita,Sood,1951-01-02,Female,120000.0,Consultant,Mysuru,Karnataka,2017-08-02,Active
156,Chanchal,Ramakrishnan,1979-02-12,Male,167223.61,Teacher,Chennai,Tamil Nadu,2020-10-04,Active
157,Thomas,Sura,1965-07-14,Female,120000.0,Bank Employee,Chennai,Tamil Nadu,2016-03-30,Active
158,Rajata,Sunder,1952-07-30,Female,120000.0,Consultant,Jaipur,Rajasthan,2018-03-21,Active
159,Gayathri,Ravel,1999-11-19,Male,120000.0,Software Engineer,Mangaluru,Karnataka,2014-05-30,Active
160,Unni,Datta,1992-12-12,Male,251574.1,Business Owner,Bengaluru,Karnataka,2020-09-08,Active
161,Avi,Ramesh,1990-11-18,Male,120000.0,Teacher,Delhi,Delhi,2021-03-16,Active
162,Avi,Chacko,1994-05-05,Female,120000.0,Doctor,Delhi,Delhi,2018-11-23,Active
163,Krishna,Shenoy,1962-12-20,Female,120000.0,Government Employee,Bengaluru,Karnataka,2012-06-16,Active
164,Abha,Raghavan,1972-11-17,Female,120000.0,Software Engineer,Chennai,Tamil Nadu,2015-03-16,Active
165,Suhani,Narain,1973-07-27,Female,120000.0,Government Employee,Mumbai,Maharashtra,2024-07-21,Active
166,Ladli,Mall,2001-10-11,Male,198116.99,Doctor,Hyderabad,Telangana,2018-10-10,Active
167,Zayyan,Bumb,1982-08-10,Female,120000.0,Business Owner,Delhi,Delhi,2011-12-07,Active
168,Charles,Palla,1965-11-11,Female,120000.0,Doctor,Mangaluru,Karnataka,2022-08-30,Active
169,Ekapad,Baria,2001-12-05,Male,120000.0,Student,Chennai,Tamil Nadu,2012-02-17,Inactive
170,Yug,Iyengar,1951-12-28,Female,120000.0,Business Owner,Kolkata,West Bengal,2022-03-04,Active
171,Michael,Khare,1959-03-12,Female,190690.38,Consultant,Delhi,Delhi,2019-08-29,Active
172,Ishwar,Kamdar,1982-04-01,Female,120000.0,Student,Bengaluru,Karnataka,2023-07-03,Active
173,Aahana,Pillay,1962-01-08,Female,120000.0,Sales Professional,Mangaluru,Karnataka,2021-11-28,Active
174,Ishwar,Gade,1971-10-08,Other,120000.0,Doctor,Chennai,Tamil Nadu,2013-06-10,Active
175,Atharv,Muni,1989-10-14,Male,120000.0,Accountant,Jaipur,Rajasthan,2023-02-15,Active
176,Keya,Ranganathan,1999-04-05,Male,120000.0,Doctor,Chennai,Tamil Nadu,2014-12-23,Active
177,Faqid,Kibe,1957-07-15,Female,120000.0,Retired,Kolkata,West Bengal,2023-06-19,Inactive
178,Charvi,Dara,2004-10-14,Male,120000.0,Business Owner,Pune,Maharashtra,2021-03-25,Inactive
179,Benjamin,Palan,1986-11-09,Male,120000.0,Accountant,Mangaluru,Karnataka,2018-11-21,Inactive
180,Kamala,Biswas,1985-01-12,Female,120000.0,Retired,Bengaluru,Karnataka,2022-08-14,Active
181,Harita,Arora,1979-03-10,Other,120000.0,Software Engineer,Mysuru,Karnataka,2025-08-04,Active
182,Vrishti,Cherian,1980-02-08,Male,120000.0,Consultant,Mumbai,Maharashtra,2017-10-06,Active
183,Tripti,Dua,1980-03-28,Male,120000.0,Consultant,Bengaluru,Karnataka,2014-08-07,Active
184,Anamika,Yohannan,2003-04-26,Male,120000.0,Consultant,Bengaluru,Karnataka,2019-10-30,Active
185,Udyati,Sarin,2000-05-07,Female,120000.0,Self Employed,Bengaluru,Karnataka,2021-09-06,Active
186,Amrita,Naidu,1967-04-23,Female,159148.89,Doctor,Mumbai,Maharashtra,2013-01-28,Active
187,Arya,Seshadri,1967-03-14,Male,120000.0,Business Owner,Pune,Maharashtra,2024-05-15,Active
188,Ucchal,Raghavan,1973-06-30,Other,120000.0,Business Owner,Pune,Maharashtra,2012-02-03,Active
189,Warda,Nair,1962-12-23,Male,120000.0,Government Employee,Delhi,Delhi,2019-11-24,Active
190,Simon,Pant,2004-11-23,Male,120000.0,Software Engineer,Chennai,Tamil Nadu,2015-12-31,Active
191,Harini,Mammen,1991-03-04,Female,120000.0,Consultant,Delhi,Delhi,2023-07-14,Active
192,Anya,Anne,1985-10-04,Female,120000.0,Government Employee,Hyderabad,Telangana,2014-11-08,Active
193,Frederick,Khurana,1999-08-09,Female,120000.0,Accountant,Pune,Maharashtra,2018-07-08,Active
194,Vrinda,Khosla,1997-08-07,Female,188536.43,Teacher,Kolkata,West Bengal,2019-09-14,Active
195,Vritti,Sem,2004-07-24,Female,120000.0,Business Owner,Hyderabad,Telangana,2011-11-24,Active
196,Girik,Menon,1965-09-06,Female,187327.97,Government Employee,Mangaluru,Karnataka,2018-06-25,Active
197,Yagnesh,Mohan,1995-10-14,Female,120000.0,Software Engineer,Bengaluru,Karnataka,2021-06-30,Active
198,Jyoti,Solanki,1988-04-07,Male,122656.89,Consultant,Bengaluru,Karnataka,2020-08-20,Active
199,Hemangini,Sandal,2001-05-13,Female,120000.0,Doctor,Jaipur,Rajasthan,2020-12-18,Active
200,Ganga,Pandey,1998-06-07,Male,120000.0,Retired,Mysuru,Karnataka,2019-04-28,Active
201,Anika,Mohan,1967-09-17,Male,120000.0,Accountant,Chennai,Tamil Nadu,2015-07-11,Active
202,Jai,Hans,1972-01-28,Female,144849.78,Accountant,Kolkata,West Bengal,2013-08-20,Active
203,Qasim,Handa,1965-04-30,Female,120000.0,Business Owner,Chennai,Tamil Nadu,2024-03-02,Active
204,Veda,Malhotra,1999-11-29,Female,120000.0,Student,Jaipur,Rajasthan,2021-08-19,Inactive
205,Barkha,Chaudhry,1963-10-24,Male,149123.99,Business Owner,Kolkata,West Bengal,2016-08-22,Active
206,Utkarsh,Patel,1962-10-25,Male,120000.0,Doctor,Bengaluru,Karnataka,2016-09-29,Active
207,Akshay,Walla,1959-03-21,Female,120000.0,Retired,Chennai,Tamil Nadu,2016-04-08,Active
208,Chakradev,Bhagat,1988-04-04,Female,131259.94,Sales Professional,Mangaluru,Karnataka,2016-07-28,Active
209,Jonathan,Swaminathan,1957-08-01,Male,120000.0,Doctor,Mumbai,Maharashtra,2011-10-24,Active
210,Bhavani,Singh,1983-03-07,Male,120000.0,Retired,Hyderabad,Telangana,2019-02-04,Active
211,Harini,Gour,1954-02-05,Male,120000.0,Consultant,Mysuru,Karnataka,2015-11-24,Active
212,Vanya,Comar,1955-01-19,Female,266733.35,Consultant,Jaipur,Rajasthan,2018-06-02,Active
213,Vyanjana,Borah,1989-11-13,Other,120000.0,Software Engineer,Pune,Maharashtra,2022-04-24,Inactive
214,Chatresh,Doshi,1960-10-03,Female,120000.0,Self Employed,Pune,Maharashtra,2025-05-27,Active
215,Daksha,Chada,1967-06-29,Female,120000.0,Accountant,Delhi,Delhi,2013-08-14,Active
216,Omaja,Kara,2003-05-22,Other,138136.35,Business Owner,Mumbai,Maharashtra,2020-06-29,Active
217,Lajita,Seshadri,1980-09-23,Male,120000.0,Sales Professional,Kolkata,West Bengal,2016-08-29,Closed
218,Pushti,Mody,1989-04-19,Female,120000.0,Student,Kolkata,West Bengal,2022-03-02,Active
219,Darpan,Chaudhary,2002-07-04,Male,120000.0,Retired,Chennai,Tamil Nadu,2015-02-20,Inactive
220,Siddharth,Lalla,1995-07-19,Female,120000.0,Doctor,Mysuru,Karnataka,2012-12-25,Active
221,Naksh,Khatri,1962-06-07,Female,248747.33,Consultant,Mysuru,Karnataka,2020-12-28,Active
222,Falan,Dugar,1950-10-14,Female,120000.0,Retired,Mysuru,Karnataka,2018-07-21,Active
223,Shravya,Singhal,1970-06-04,Female,153079.47,Doctor,Pune,Maharashtra,2012-02-27,Active
224,Vincent,Mani,1998-09-17,Female,120000.0,Software Engineer,Jaipur,Rajasthan,2016-05-30,Active
225,Sudiksha,Bobal,1997-05-19,Male,120000.0,Business Owner,Kolkata,West Bengal,2015-07-29,Active
226,Aishani,Hora,1979-07-14,Male,120000.0,Business Owner,Pune,Maharashtra,2013-07-22,Inactive
227,Umang,Dixit,1968-09-05,Female,120000.0,Self Employed,Mangaluru,Karnataka,2014-01-08,Closed
228,Ekbal,Bhasin,1961-11-23,Male,120000.0,Sales Professional,Kolkata,West Bengal,2025-02-01,Active
229,Damyanti,Mani,1980-06-27,Male,120000.0,Business Owner,Bengaluru,Karnataka,2013-09-19,Active
230,Upadhriti,Modi,1998-03-21,Male,120000.0,Software Engineer,Chennai,Tamil Nadu,2018-06-14,Inactive
231,Anita,Tella,1987-05-08,Male,120000.0,Retired,Jaipur,Rajasthan,2020-01-02,Inactive
232,Raksha,Buch,1991-04-20,Male,120000.0,Government Employee,Chennai,Tamil Nadu,2012-04-12,Closed
233,Rachana,Naidu,1991-09-08,Male,268691.67,Doctor,Delhi,Delhi,2015-11-11,Active
234,Atharv,Chand,1966-03-07,Female,120000.0,Government Employee,Delhi,Delhi,2023-01-27,Active
235,Ansh,Luthra,1989-10-25,Male,120000.0,Student,Kolkata,West Bengal,2012-04-14,Active
236,Parth,Singhal,1985-12-01,Female,120000.0,Government Employee,Mumbai,Maharashtra,2022-09-08,Inactive
237,Riya,Mall,1962-12-14,Female,304401.81,Retired,Bengaluru,Karnataka,2021-07-24,Active
238,Rajata,Swamy,1956-10-23,Female,120000.0,Software Engineer,Mysuru,Karnataka,2019-08-07,Active
239,Ijaya,Rege,1973-04-14,Female,120000.0,Bank Employee,Mangaluru,Karnataka,2017-01-23,Active
240,Henry,Dyal,1973-01-17,Male,120000.0,Bank Employee,Chennai,Tamil Nadu,2018-08-09,Active
241,Warhi,Mani,1995-09-10,Female,120000.0,Retired,Jaipur,Rajasthan,2018-06-01,Active
242,Balhaar,Sha,1956-08-05,Male,120000.0,Government Employee,Delhi,Delhi,2016-12-14,Active
243,Zayyan,Naik,1958-06-29,Other,120000.0,Self Employed,Chennai,Tamil Nadu,2024-09-29,Active
244,Netra,Varkey,1950-09-06,Male,120000.0,Teacher,Bengaluru,Karnataka,2022-10-16,Active
245,Turvi,Sachdev,1954-04-17,Female,120000.0,Software Engineer,Delhi,Delhi,2014-10-17,Active
246,Zarna,Pathak,1992-12-21,Female,222120.85,Self Employed,Mangaluru,Karnataka,2024-06-21,Active
247,Wishi,Sathe,2002-04-27,Female,120000.0,Doctor,Jaipur,Rajasthan,2012-06-24,Active
248,Samar,Loke,1987-12-23,Male,120000.0,Accountant,Mumbai,Maharashtra,2013-10-31,Active
249,Bhavna,Sarma,1998-02-13,Male,120000.0,Retired,Kolkata,West Bengal,2019-11-06,Active
250,Jairaj,Balakrishnan,1993-06-23,Male,120000.0,Doctor,Pune,Maharashtra,2021-12-17,Active
251,Wriddhish,Dutt,1971-10-01,Male,120000.0,Business Owner,Pune,Maharashtra,2020-12-21,Active
252,Akshay,Reddy,1956-12-11,Female,120000.0,Government Employee,Delhi,Delhi,2015-06-05,Active
253,Ishaan,Shenoy,1958-08-06,Male,120000.0,Self Employed,Pune,Maharashtra,2022-08-15,Active
