employee_id,branch_id,employee_name,job_role,hire_date,salary,employment_status
83,63,Shivansh Oza,Credit Analyst,2015-01-25,45370.52,Active
84,62,Yashasvi Suresh,Operations Officer,2015-11-16,57517.37,Active
85,12,George Sampath,Teller,2025-09-17,34818.7,Active
86,89,Chaitanya Aggarwal,Investment Advisor,2017-04-11,53098.55,Leave
87,1,Adweta Edwin,Operations Officer,2024-03-18,45448.69,Active
88,67,Prisha Andra,Fraud Analyst,2013-07-04,117391.35,Active
89,86,Manthan Banik,Risk Analyst,2025-10-19,47192.89,Active
90,94,Manbir Sani,Branch Manager,2013-10-08,54601.03,Active
91,16,Darika Patla,Fraud Analyst,2025-02-22,76472.18,Active
92,94,Ishita Kade,Teller,2023-03-17,73862.74,Active
93,10,Harshil Pandya,Customer Service Officer,2024-11-15,51327.63,Active
94,19,Mohammed Khalsa,Fraud Analyst,2026-04-24,62677.59,Active
95,69,Peter Sachar,Branch Manager,2012-01-10,73036.82,Leave
96,92,Gaurangi Sabharwal,Branch Manager,2025-04-01,63061.37,Active
97,50,Amara Dutta,Credit Analyst,2024-12-30,48276.65,Active
98,12,Lavanya Barad,Credit Analyst,2026-03-18,125362.04,Active
99,40,Tristan Iyengar,Fraud Analyst,2025-06-30,47375.42,Active
100,46,Inaya Mody,Loan Officer,2025-07-24,44186.32,Active
101,35,Udant Bajwa,Operations Officer,2022-10-31,55667.8,Active
102,90,Mohini Narasimhan,Loan Officer,2016-05-05,50385.04,Active
103,7,Arya Panchal,Branch Manager,2022-07-08,41562.91,Leave
104,36,Garima Bala,Risk Analyst,2013-07-25,95250.46,Active
105,36,Pranav Lanka,Fraud Analyst,2012-04-02,107732.54,Active
106,99,Radha Pai,Branch Manager,2023-12-31,31068.07,Active
107,96,Rajata Vaidya,Investment Advisor,2013-07-27,63778.56,Active
108,55,Ranveer Kumar,Operations Officer,2012-05-10,87104.56,Active
109,30,Aarav Venkatesh,Relationship Manager,2025-04-28,53418.34,Active
110,13,Januja Sankar,Credit Analyst,2012-10-16,187005.78,Active
111,12,Dipta Dash,Risk Analyst,2023-11-06,51846.79,Resigned
112,95,Yashica More,Branch Manager,2022-12-12,84491.67,Active
113,16,Eta Rau,Teller,2023-06-19,64258.39,Active
114,85,Joshua Handa,Branch Manager,2018-10-03,45176.94,Leave
115,16,Owen Mitra,Risk Analyst,2018-07-06,112959.35,Resigned
116,9,Daksha Mangat,Fraud Analyst,2015-03-07,68982.22,Active
117,17,Ekanta Shroff,Customer Service Officer,2019-02-13,65234.14,Active
118,50,Tanay Vaidya,Fraud Analyst,2019-08-27,50139.78,Active
119,29,Frado Mander,Teller,2020-05-15,69977.39,Active
120,86,Girik Keer,Branch Manager,2023-01-18,35896.14,Active
121,71,Umang Issac,Risk Analyst,2014-02-09,32527.79,Active
122,19,Chakradhar Konda,Customer Service Officer,2019-09-08,87056.91,Active
123,74,Tamanna Sachdeva,Fraud Analyst,2022-04-26,46466.33,Active
124,92,Leena Talwar,Fraud Analyst,2018-05-27,31053.83,Active
125,72,Manbir Ahluwalia,Risk Analyst,2024-05-18,80342.97,Active
126,63,Pavani Kanda,Relationship Manager,2014-08-05,89024.75,Active
127,33,Chandresh Krish,Customer Service Officer,2026-01-13,96334.89,Resigned
128,45,Tanmayi Deol,Teller,2025-03-27,54164.38,Active
129,85,Edhitha Savant,Teller,2022-01-09,80438.72,Active
130,47,Sanaya Dutt,Risk Analyst,2024-04-02,41224.48,Active
131,15,Shivani Lad,Relationship Manager,2024-05-23,91139.27,Active
132,57,Aradhana Verma,Fraud Analyst,2019-11-06,113055.12,Resigned
133,72,Anvi Sarraf,Customer Service Officer,2012-12-02,128853.45,Active
134,92,Wahab Magar,Branch Manager,2017-04-25,45120.66,Active
135,58,Faris Devi,Loan Officer,2014-03-03,45279.86,Active
136,27,Leela Dua,Customer Service Officer,2023-08-15,37487.18,Active
137,73,Devansh Sachdeva,Relationship Manager,2018-07-15,109613.04,Active
138,13,Unnati Sagar,Credit Analyst,2012-08-29,35510.71,Active
139,82,Osha Ramachandran,Credit Analyst,2024-09-12,77628.28,Active
140,56,Lajita Sood,Loan Officer,2011-09-14,100391.27,Active
141,5,Chanchal Ramakrishnan,Operations Officer,2026-02-14,97719.74,Active
142,49,Thomas Sura,Teller,2015-05-03,51195.16,Active
143,89,Rajata Sunder,Customer Service Officer,2012-02-05,65547.7,Active
144,99,Gayathri Ravel,Relationship Manager,2023-12-03,92169.08,Active
145,55,Unni Datta,Customer Service Officer,2022-03-10,67498.45,Active
146,3,Meera Bala,Teller,2013-01-11,116895.47,Active
147,53,Krishna Shenoy,Teller,2014-09-11,47786.75,Active
148,73,Abha Raghavan,Relationship Manager,2017-03-04,96238.97,Resigned
149,77,Suhani Narain,Branch Manager,2017-05-06,76808.09,Active
150,92,Arunima Sama,Investment Advisor,2015-11-23,40391.53,Active
151,34,Upma Bahl,Customer Service Officer,2024-05-06,62330.21,Active
152,54,Inaya Kapur,Teller,2022-08-30,103047.16,Active
153,57,Banjeet Balasubramanian,Relationship Manager,2015-10-23,75047.88,Active
154,51,Anmol Dua,Operations Officer,2015-08-30,96666.39,Active
155,98,Urvashi Contractor,Customer Service Officer,2021-03-13,105208.82,Active
156,51,Udyati Kunda,Loan Officer,2024-08-25,93516.92,Active
157,38,Oliver Contractor,Relationship Manager,2024-11-01,50496.03,Active
158,51,Deepa Chokshi,Relationship Manager,2021-06-12,95516.66,Leave
159,4,Devika Prashad,Fraud Analyst,2018-05-08,59566.5,Active
160,88,Faqid Kibe,Teller,2013-05-03,79121.66,Resigned
161,53,Jai Barman,Loan Officer,2017-07-05,88693.08,Active
162,23,Kamala Biswas,Operations Officer,2020-03-17,36155.4,Active
163,75,Advik Salvi,Customer Service Officer,2025-08-04,43572.48,Active
164,25,Hitesh Sant,Credit Analyst,2017-10-06,72864.85,Active
165,27,Michael Saran,Loan Officer,2014-08-07,37123.94,Active
166,82,Veda Shroff,Fraud Analyst,2019-01-05,71427.44,Active
167,21,Ekantika Korpal,Customer Service Officer,2025-09-25,57672.71,Active
168,34,Arya Seshadri,Relationship Manager,2015-10-02,41675.35,Active
169,45,Ladli Nayar,Risk Analyst,2012-02-03,59008.15,Active
170,56,Ekta Gopal,Relationship Manager,2019-11-24,43693.71,Active
171,1,Isha Kuruvilla,Investment Advisor,2017-05-23,46270.31,Active
172,56,Anya Anne,Customer Service Officer,2020-05-23,73337.44,Active
173,28,Frederick Khurana,Operations Officer,2023-11-08,111664.63,Active
174,59,Vrinda Khosla,Investment Advisor,2023-05-09,65405.91,Active
175,3,Vritti Sem,Operations Officer,2025-02-03,175888.98,Active
176,38,Girik Menon,Credit Analyst,2015-05-16,88596.82,Active
177,64,Yagnesh Mohan,Risk Analyst,2022-11-24,45712.16,Active
178,17,Urvashi Wali,Operations Officer,2017-06-14,73252.02,Active
179,44,Ganga Pandey,Risk Analyst,2023-07-24,64626.38,Active
180,67,Anika Mohan,Risk Analyst,2015-11-18,82347.01,Active
181,100,Jai Hans,Customer Service Officer,2016-12-20,102037.27,Active
182,83,Qasim Handa,Fraud Analyst,2015-04-14,72302.83,Active
183,6,Aradhana Vohra,Branch Manager,2021-10-03,82798.24,Active
184,70,Harish Hari,Teller,2016-08-22,116809.05,Leave
185,53,Jalsa Gola,Customer Service Officer,2016-09-29,48243.6,Active
186,94,Jonathan Mahal,Investment Advisor,2012-05-17,38538.2,Active
187,3,Brinda Date,Credit Analyst,2022-06-15,79151.54,Active
188,94,Harshil Arora,Investment Advisor,2021-05-15,62995.68,Active
189,62,Upasna Srinivas,Risk Analyst,2019-02-04,66177.32,Active
190,45,Qarin Behl,Teller,2015-11-24,111757.82,Active
191,68,Ishaan Bhattacharyya,Credit Analyst,2018-06-02,74922.06,Active
192,1,Ethan Bera,Fraud Analyst,2014-03-08,45018.35,Active
193,38,Daksha Chada,Teller,2015-10-29,78236.24,Active
194,3,Omaja Kara,Relationship Manager,2024-10-18,60100.86,Active
195,10,Shravya Savant,Teller,2016-08-29,85152.79,Active
196,73,Dalaja Bhasin,Relationship Manager,2021-12-22,48927.16,Active
197,15,Sarthak Kakar,Investment Advisor,2016-02-08,93989.86,Active
198,69,Naksh Khatri,Loan Officer,2014-07-24,70444.53,Active
199,75,Naksh Agate,Risk Analyst,2018-07-21,50114.11,Leave
200,64,Upma Manne,Customer Service Officer,2012-02-27,38768.21,Active
201,93,Bhavya Mandal,Investment Advisor,2023-07-25,72126.08,Active
202,35,Ekavir Kaur,Teller,2016-02-07,76398.85,Active
203,83,Pavani Contractor,Fraud Analyst,2020-11-12,54398.1,Active
204,18,Manthan Lata,Investment Advisor,2025-08-31,74075.48,Active
205,14,Ekbal Bhasin,Credit Analyst,2014-06-05,76708.94,Active
206,97,Bhavya Sarna,Risk Analyst,2013-09-19,129697.19,Active
207,66,Daksha Rau,Teller,2016-03-26,65020.97,Active
208,6,Raksha Buch,Credit Analyst,2021-10-11,78417.53,Active
209,72,Rachana Naidu,Fraud Analyst,2021-11-15,67404.95,Active
210,94,Atharv Chand,Operations Officer,2015-07-01,51774.3,Active
211,29,Amruta Baria,Customer Service Officer,2024-08-01,80005.74,Active
212,33,Upma Venkataraman,Branch Manager,2022-09-08,85260.22,Active
213,10,Arunima Golla,Teller,2021-07-24,53016.88,Active
214,31,Vyanjana Chand,Branch Manager,2019-08-07,80033.34,Active
215,52,Nilima Nath,Investment Advisor,2017-01-23,181871.33,Active
216,68,Naveen Narayan,Loan Officer,2018-08-09,63817.59,Active
217,36,Bhavya Rattan,Branch Manager,2025-06-11,76982.58,Active
218,74,Suhani Chakrabarti,Investment Advisor,2016-12-14,103637.87,Active
219,72,Ekiya D’Alia,Operations Officer,2024-09-29,75284.38,Active
220,13,Yoshita Agarwal,Investment Advisor,2022-10-16,58720.57,Active
221,89,Odika Bhagat,Relationship Manager,2014-10-17,62211.07,Active
222,37,Wishi Sathe,Investment Advisor,2024-07-13,77189.47,Active
223,92,Samar Loke,Fraud Analyst,2020-12-11,48069.51,Active
224,87,Bhavna Sarma,Risk Analyst,2023-06-25,50342.94,Active
225,54,Jairaj Balakrishnan,Operations Officer,2022-04-27,72273.88,Active
226,53,Nathan Mukhopadhyay,Risk Analyst,2020-12-21,37214.4,Active
227,57,Nikita Chander,Teller,2015-06-05,43463.01,Active
228,90,Triya Dalal,Customer Service Officer,2022-08-15,65260.11,Active
229,82,Wishi Manne,Loan Officer,2020-04-05,63352.75,Active
230,51,Ojasvi Subramanian,Customer Service Officer,2019-08-21,78544.09,Active
231,71,Tanmayi Dhillon,Branch Manager,2018-02-16,79344.44,Active
232,63,Yashoda Deshpande,Customer Service Officer,2026-04-20,56668.58,Active
233,85,Anya Sachdeva,Relationship Manager,2017-05-20,54496.35,Active
234,61,Aarnav Mandal,Investment Advisor,2023-12-15,40648.45,Active
235,1,Vrishti Dixit,Operations Officer,2019-03-14,96028.15,Active
236,30,Hemani Natarajan,Relationship Manager,2020-12-28,53350.25,Active
237,30,Tamanna Nagy,Investment Advisor,2026-05-25,33598.69,Active
238,66,William Rajagopal,Customer Service Officer,2015-07-30,76521.71,Active
239,94,Caleb Nadkarni,Customer Service Officer,2024-04-09,52850.04,Active
240,55,Lakshmi Raju,Operations Officer,2022-11-23,65082.03,Active
241,10,Warhi Bansal,Fraud Analyst,2013-10-01,61222.6,Active
242,55,Harish Sarraf,Loan Officer,2013-04-19,83535.75,Active
243,8,Alexander Dhawan,Relationship Manager,2018-07-30,33932.1,Active
244,72,Falan Singh,Customer Service Officer,2024-11-24,67463.77,Active
245,67,Hamsini Rao,Credit Analyst,2022-08-28,39036.61,Active
246,96,Falguni Walla,Investment Advisor,2018-01-25,76845.29,Active
247,46,Vinaya Banik,Branch Manager,2022-02-08,33102.26,Active
248,74,Wahab Mani,Operations Officer,2015-06-22,43687.33,Active
249,85,Radha Chaudhari,Credit Analyst,2024-07-15,96623.72,Active
250,69,Sachi Ganesan,Branch Manager,2023-05-30,83733.03,Active
251,2,Ayush Batra,Credit Analyst,2017-02-13,34723.77,Active
252,38,Chaaya Parmer,Risk Analyst,2017-12-24,74020.95,Active
253,44,Madhav Konda,Credit Analyst,2020-08-21,84131.64,Active
254,81,Pranit Garde,Loan Officer,2014-07-31,59228.88,Active
255,14,Lavanya Khosla,Risk Analyst,2020-01-26,127304.08,Active
256,22,Vincent Shenoy,Branch Manager,2022-06-15,75757.3,Active
257,29,Tripti Kumer,Loan Officer,2022-12-12,33848.25,Active
258,25,Udyati Mani,Customer Service Officer,2023-02-17,72631.38,Active
259,87,Ethan Sathe,Teller,2017-06-25,105576.04,Active
260,71,Panini Krishna,Fraud Analyst,2019-05-17,103743.12,Active
261,26,Rushil Rajagopalan,Teller,2026-02-13,68477.8,Active
262,54,Hredhaan Khalsa,Relationship Manager,2018-02-02,26123.68,Active
263,36,Chakrika Merchant,Credit Analyst,2011-12-23,48337.78,Active
264,36,Anvi Anand,Relationship Manager,2021-03-25,36595.06,Active
265,99,Watika Mangat,Customer Service Officer,2024-10-19,124052.5,Leave
266,69,Indira Kanda,Investment Advisor,2022-06-07,53820.31,Active
267,36,Zashil Devan,Branch Manager,2022-04-16,66121.24,Active
268,98,Balveer More,Risk Analyst,2025-01-07,54273.12,Active
269,73,Bahadurjit Patla,Risk Analyst,2024-01-23,41520.0,Active
270,42,Gautam Merchant,Risk Analyst,2017-02-28,32106.22,Active
271,3,Parth Iyer,Loan Officer,2013-11-07,74708.02,Active
272,98,Yachana Mahajan,Credit Analyst,2025-09-24,84153.19,Active
273,59,Aarini Subramaniam,Relationship Manager,2025-04-28,37730.66,Active
274,88,Hamsini Contractor,Credit Analyst,2019-07-28,55315.82,Active
275,21,Lohit Kara,Relationship Manager,2026-03-27,93919.57,Active
276,25,Jasmit Chana,Loan Officer,2025-01-20,86835.73,Active
277,15,Akshay Lalla,Fraud Analyst,2020-09-24,62989.8,Active
278,16,Suhani Pillay,Operations Officer,2023-01-18,52372.19,Resigned
279,26,Lakshmi Prabhu,Teller,2013-06-12,30231.19,Active
280,7,Urishilla Bakshi,Risk Analyst,2022-02-21,54294.34,Active
281,72,Timothy Bhatnagar,Loan Officer,2022-05-31,96268.83,Active
282,39,Chasmum Rege,Credit Analyst,2013-08-02,52796.33,Active
283,17,Chakradev Barad,Investment Advisor,2016-10-12,51427.4,Active
284,37,Jack Chatterjee,Investment Advisor,2015-08-06,53733.38,Active
285,87,Lipika Setty,Operations Officer,2017-11-30,69175.33,Active
286,25,Mohammed Sachdeva,Loan Officer,2022-09-29,30473.43,Active
287,42,Vrishti Reddy,Loan Officer,2016-05-12,76856.08,Active
288,39,Kamala Kalla,Branch Manager,2019-02-23,60867.58,Active
289,93,Warinder Patil,Teller,2013-04-17,148627.23,Active
290,10,Jagrati Bhat,Risk Analyst,2018-05-17,47684.9,Active
291,84,Ranveer Das,Teller,2026-01-11,31211.06,Active
292,18,Gavin Kala,Teller,2022-07-09,53911.09,Active
293,65,Chandresh Nath,Teller,2015-09-30,59151.68,Active
294,88,Samesh Biswas,Branch Manager,2025-09-20,64989.12,Active
295,37,Tarak Kaul,Teller,2017-03-11,56500.06,Active
296,46,Aarnav Malhotra,Investment Advisor,2026-03-16,44848.49,Active
297,77,Kalpit Zachariah,Loan Officer,2015-11-13,90082.93,Active
298,74,Imaran Bal,Loan Officer,2013-11-04,105597.29,Active
299,41,Ishita Khanna,Relationship Manager,2021-08-15,71707.13,Active
300,9,Amol Ghosh,Credit Analyst,2016-02-12,90940.77,Active
301,61,Jonathan Sama,Fraud Analyst,2020-07-20,31546.4,Resigned
302,3,Devansh Soni,Credit Analyst,2019-03-25,181421.82,Active
303,89,Yochana Chopra,Risk Analyst,2019-04-17,27282.93,Active
304,29,Caleb Verma,Risk Analyst,2016-09-25,44027.52,Active
305,98,Azaan Bhat,Fraud Analyst,2019-10-02,72419.05,Active
306,59,Pooja Chokshi,Loan Officer,2019-12-11,87488.57,Active
307,79,Ethan Buch,Customer Service Officer,2017-01-30,81587.82,Active
308,70,Dominic Date,Teller,2016-04-12,42927.19,Active
309,77,Lakshmi Wali,Teller,2016-08-14,60787.84,Active
310,67,Yashasvi Sani,Investment Advisor,2013-04-16,85876.52,Active
311,40,Tanveer Sani,Relationship Manager,2019-04-14,65121.36,Active
312,97,Odika Nori,Risk Analyst,2025-09-05,66632.25,Active
313,45,Mohini Sagar,Risk Analyst,2024-01-06,43265.28,Active
314,45,Dhriti Sane,Fraud Analyst,2016-12-01,73719.98,Active
315,31,Kavya Dua,Operations Officer,2023-04-15,64884.87,Active
316,2,Ekalinga Chand,Operations Officer,2025-10-02,56762.72,Active
317,13,Girik Sankaran,Relationship Manager,2013-03-31,42323.04,Active
318,64,Kalpit Bhasin,Investment Advisor,2021-07-31,63198.92,Active
319,70,Jason Roy,Credit Analyst,2017-08-14,65335.07,Resigned
320,63,Charan Mani,Teller,2021-10-25,103996.1,Active
321,68,Indira Chawla,Branch Manager,2021-06-08,51212.98,Active
322,17,Mohammed Subramaniam,Customer Service Officer,2015-06-02,64082.81,Active
323,65,Inaya Pillai,Customer Service Officer,2013-07-22,50612.5,Active
324,64,Upkaar Sanghvi,Branch Manager,2025-12-24,62613.17,Active
325,52,Amara Balakrishnan,Operations Officer,2014-09-03,89126.47,Active
326,87,Dayamai Nori,Fraud Analyst,2017-07-29,51024.51,Active
327,98,Pratyush Dhar,Branch Manager,2021-03-27,36069.22,Active
328,29,Ekaraj Dhar,Branch Manager,2024-03-17,27734.1,Active
329,47,Gavin Wali,Branch Manager,2015-04-06,38249.79,Resigned
330,56,Oni Setty,Teller,2017-05-27,81256.01,Active
331,59,Kala Muni,Branch Manager,2023-11-17,35103.85,Resigned
332,1,Frado Ben,Fraud Analyst,2014-04-01,46996.68,Active
333,15,Chandran Bumb,Loan Officer,2016-03-25,38636.83,Active
334,80,Panini Sunder,Investment Advisor,2021-12-06,99242.1,Active
335,89,Oeshi Mahajan,Relationship Manager,2015-04-09,105797.46,Active
336,93,Hemani Sani,Teller,2013-06-28,25123.19,Active
337,3,Vidhi Vyas,Branch Manager,2022-12-14,58022.87,Active
338,17,Chakradev Kannan,Branch Manager,2018-04-30,99115.49,Active
339,38,Abhimanyu Jayaraman,Risk Analyst,2016-09-23,69956.53,Active
340,2,Laksh Kumer,Investment Advisor,2016-07-11,42261.24,Active
341,64,Jagdish Amble,Relationship Manager,2020-01-24,51107.82,Active
342,32,Parth Dayal,Risk Analyst,2018-01-26,25633.16,Active
343,41,Xiti Pandya,Investment Advisor,2012-10-29,83195.36,Active
344,76,Brijesh Sarin,Risk Analyst,2011-12-03,80507.43,Active
345,79,Faras Munshi,Customer Service Officer,2021-05-25,101335.23,Active
346,32,Nidhi Sahni,Loan Officer,2016-07-11,81395.62,Active
347,2,Nidhi Bail,Relationship Manager,2017-02-16,54912.04,Active
348,26,Triveni Pathak,Customer Service Officer,2013-02-06,47160.2,Active
349,38,Hitesh Kohli,Operations Officer,2019-01-06,74700.39,Active
350,44,Farhan Randhawa,Relationship Manager,2026-05-31,42507.32,Resigned
351,61,Harinakshi Kant,Credit Analyst,2017-04-08,64453.47,Active
352,95,Faraj Uppal,Risk Analyst,2022-05-17,81479.25,Active
353,8,Yashvi Hari,Investment Advisor,2024-10-22,81905.19,Active
354,7,Indali Divan,Branch Manager,2015-08-16,74780.33,Active
355,6,Madhav Kunda,Fraud Analyst,2014-12-16,57798.14,Active
356,60,Michael Borra,Fraud Analyst,2014-08-13,101163.94,Active
357,82,Ucchal Sen,Customer Service Officer,2023-03-11,109784.58,Active
358,19,Diya Dora,Operations Officer,2019-01-31,87227.85,Active
359,45,Upasna Sathe,Investment Advisor,2022-05-06,56099.39,Active
360,44,Anvi Bhalla,Loan Officer,2017-08-03,86246.76,Active
361,83,Dayita Shenoy,Customer Service Officer,2019-04-17,71474.56,Active
362,28,Dakshesh Pillay,Fraud Analyst,2025-10-01,29759.57,Active
363,61,Faraj Chana,Customer Service Officer,2022-01-24,87716.57,Active
364,61,Turvi Barman,Investment Advisor,2019-04-03,57598.01,Active
365,4,Ekanta Soni,Branch Manager,2020-02-18,177496.04,Active
366,36,David Seshadri,Fraud Analyst,2013-05-13,67615.39,Active
367,100,Frado Thaman,Loan Officer,2022-08-05,94933.34,Active
368,58,Balveer Kota,Customer Service Officer,2023-08-23,69825.6,Active
369,3,Reva Viswanathan,Loan Officer,2020-06-30,96943.27,Active
370,8,Januja Pradhan,Branch Manager,2016-05-31,78586.53,Active
371,87,Nilima Nigam,Fraud Analyst,2023-02-25,67059.13,Active
372,62,Gaurika Bhatti,Customer Service Officer,2017-03-18,54066.96,Active
373,14,Libni Mander,Investment Advisor,2015-11-21,112881.31,Active
374,17,Gauri Bumb,Risk Analyst,2021-07-08,81605.69,Resigned
375,66,Inaya Mukherjee,Credit Analyst,2022-10-06,38057.81,Active
376,56,Kai Chad,Branch Manager,2016-11-13,89885.27,Resigned
377,47,Falguni Datta,Fraud Analyst,2023-01-01,28758.68,Active
378,1,Pallavi Trivedi,Teller,2017-10-04,65444.7,Active
379,43,Janani More,Relationship Manager,2014-09-02,46179.58,Active
380,37,Harita Sunder,Teller,2014-11-14,37925.18,Active
381,49,Laksh Dubey,Relationship Manager,2012-11-30,50832.97,Active
382,6,Harrison Tripathi,Branch Manager,2024-09-19,112072.4,Active
383,2,Gayathri Deep,Risk Analyst,2021-10-06,77239.81,Active
384,35,Mitesh Gaba,Customer Service Officer,2014-09-05,60972.67,Active
385,59,Raksha Bassi,Teller,2018-08-04,64012.15,Active
386,20,Wazir Sawhney,Teller,2021-12-28,43778.71,Active
387,43,Saumya Kaur,Loan Officer,2020-09-08,34871.93,Active
388,23,Dayamai Singh,Customer Service Officer,2025-10-23,71410.5,Active
389,45,Jhalak Sastry,Branch Manager,2019-06-16,43111.12,Active
